query	species	genus	family	order	class	phylum	domain	stringency	avgdist	GVOG9u	GVOG9t	GVOG7u	GVOG7t	GVOG7df	MCP	UNI56u	UNI56t	UNI56df	xgb	contigs	LENbp	GCperc	genecount	CODINGperc	ttable
33DmetaG_8	s__	g__	f__	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.0565595548888888	9	36	7	21	3.0	9	3	10	3.333333333333333	Imitervirales___NCLDV	143	1466935	22.33	1155	95.44	code6
29DmetaG_48	s__	g_g342	f_Mesomimiviridae	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.1520064749999999	9	11	7	7	1.0	2	2	3	1.5	Imitervirales___NCLDV	7	435801	33.4	462	92.76	code4
62DmetaG_52	s__	g__	f__	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.0010815587777777	9	35	7	17	2.4285714285714284	13	2	7	3.5	Imitervirales___NCLDV	84	848031	21.14	817	93.79	codemeta
29DmetaG_9	s__	g_g329	f_Mesomimiviridae	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.0905063506666666	9	10	7	7	1.0	1	3	4	1.3333333333333333	Imitervirales___NCLDV	21	463953	25.94	336	93.97	code6
23DmetaG_67	s__	g_g335	f_Mesomimiviridae	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.2981120949999999	7	10	5	5	1.0	2	1	2	2.0	Imitervirales___NCLDV	12	312941	30.56	238	92.45	code6
44DmetaG_25	s__	g_g335	f_Mesomimiviridae	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.0243210377142857	7	13	5	7	1.4	1	2	7	3.5	Imitervirales___NCLDV	40	420068	29.65	309	93.81	code6
39DmetaG_85	s__	g__	f_Mesomimiviridae	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.22467826475	8	12	6	8	1.3333333333333333	2	2	3	1.5	Imitervirales___NCLDV	35	347835	27.17	276	94.48	code6
15DmetaG_83	s__	g_g105	f_PM_01	o_Pimascovirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.0467962895555555	9	10	7	8	1.1428571428571428	1	2	2	1.0	Imitervirales___NCLDV	17	514272	28.81	512	93.7	code4
48DmetaG_47	s__	g_g177	f_AG_01	o_Algavirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.0569496742	5	7	4	4	1.0	3	0	0	0.0	Algavirales___NCLDV	9	85489	41.81	99	94.62	code6
61DmetaG_37	s__	g_g177	f_AG_01	o_Algavirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.2138818183999999	5	10	4	5	1.25	5	0	0	0.0	Imitervirales___NCLDV	10	129808	34.62	197	95.32	code11
15DmetaG_56	s__	g_g335	f_Mesomimiviridae	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.1127233429999999	9	15	7	10	1.4285714285714286	2	2	2	1.0	Imitervirales___NCLDV	29	410720	28.24	466	93.8	code4
29DmetaG_30	s__	g_g342	f_Mesomimiviridae	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.3310006266666667	9	11	7	7	1.0	2	2	3	1.5	Imitervirales___NCLDV	24	323181	33.23	360	93.49	code4
61DmetaG_42	s__	g_g329	f_Mesomimiviridae	o_Imitervirales	c_Megaviricetes	p_Nucleocytoviricota	d_NCLDV	gte3	0.0293739037777777	9	12	7	8	1.1428571428571428	2	3	4	1.3333333333333333	Imitervirales___NCLDV	13	484865	28.74	506	94.73	codemeta
